k,birth_rate,emigration_rate,internal_arrival_rate,internal_departure_rate,mortality_adult,mortality_old,mortality_young,overseas_arrival_rate,final_population,maximum_invalid_age_count,births_total,deaths_total,overseas_arrivals_total,overseas_departures_total,internal_arrivals_total,internal_departures_total,minimum_vacant_birth_slots,final_max_generation,locked_out_total
0,0.022852405903835728,0.00143514541211536,0.01770345047137392,0.001872906120365134,0.0022923946717845413,0.008103557305181036,0.0008058945980804724,0.02048758904545381,779765,0,76314,64372,19571,27165,10376,34959,117203,3,106261
1,0.019332769045104285,0.0019327609377041716,0.01640326179967746,0.0020491118888102894,0.003621381021217677,0.00954162610282416,0.0012531578224408066,0.018980801878903546,744231,0,72414,83570,18510,35598,9792,37317,117654,3,100716
2,0.03127326489924197,0.002016042117241798,0.020448792854416017,0.002818298038424864,0.0023543392822770997,0.009859680434451687,0.0008075956768939257,0.02255531908618138,776990,0,105948,71737,21167,37747,11731,52372,116218,3,138846
3,0.02528413147336222,0.0017432299939879443,0.013644292055800377,0.0034339884813959116,0.00263557829463596,0.013014188060255182,0.0013112876087594512,0.017440326825641596,739013,0,95672,88538,17304,31861,8417,61981,116926,3,121393
4,0.022018930685764826,0.002141630913031736,0.01785641000022168,0.0019123073005108539,0.0025313759079216356,0.009772220764912852,0.0008755979460083167,0.02320484330626593,762185,0,78684,73543,21663,39856,10465,35228,117315,3,110812
5,0.032867883584077905,0.0013184583748960818,0.020501937891141707,0.0029880102580608758,0.004345626301207654,0.013697168847177664,0.0008342086965791935,0.022657905637119273,765149,0,116468,104957,21287,24554,11785,54880,116022,3,149540
6,0.032503481185216614,0.0019754865124450576,0.015201679742482217,0.00225477262385589,0.003009386119429492,0.007191058115181574,0.0009847285193970439,0.015546980648915838,783259,0,104620,66908,15697,37265,9191,42076,116073,3,129508
7,0.023104117603386296,0.002478261047345571,0.014501617104560716,0.002763531098289396,0.003395902383542214,0.010435146266838047,0.0010574563681385858,0.02425575109248637,740501,0,88266,83566,22461,45362,8852,50150,117177,3,119579
8,0.018020345815424308,0.001886538122885192,0.019744534032868008,0.002405991561476412,0.004107165557854816,0.011675794335487572,0.000724656328742004,0.02004409106637286,730050,0,71127,94117,19335,34339,11403,43359,117792,3,101865
9,0.03266780734505068,0.002085874477283884,0.013954057109490485,0.0034509695732765928,0.0036410875991641552,0.021016850701138443,0.0011181002301101882,0.02527851354183942,735831,0,127895,124443,23206,37727,8598,61698,116047,3,159699
10,0.03244377828164235,0.0022830944762008624,0.017268388952639182,0.002132060718227225,0.003453157034620374,0.008590051513979652,0.0010183436736018482,0.0211106032196112,778811,0,108213,77073,20117,42926,10172,39692,116076,3,138502
11,0.030458422138147638,0.002142165758014988,0.0225318739789461,0.0019430556156887896,0.0027796998054002947,0.013689229258825085,0.0009944965893110098,0.013611942516486333,765011,0,105847,92043,14055,39796,12683,35735,116318,3,132585
12,0.019539668616127805,0.0015760548257173195,0.0182138829067396,0.0029484934223289435,0.002161160717848118,0.01116741886885678,0.0011677998437286076,0.01738677424936732,741983,0,73619,76878,17236,29063,10674,53605,117631,3,101529
13,0.02022904647964734,0.0019160094422208149,0.011631086146919881,0.0021016012342562626,0.0036883650315834332,0.012353541546035136,0.0008427157714453399,0.024941481907329643,740194,0,77244,94041,22898,35115,7317,38109,117552,3,107459
14,0.018710017364841295,0.0022767501463957234,0.01636150418353237,0.0017162529650515965,0.0029625952996841383,0.010162173534429985,0.0012557911061800717,0.01900783431483249,744523,0,69905,80473,18518,41911,9767,31283,117719,3,98190
15,0.03380252334445752,0.001959683614668999,0.016091270859710058,0.002550198914924459,0.0026866261584621645,0.008487053362728009,0.0008826505064695368,0.017698664208947595,783097,0,109743,69265,17495,36927,9618,47567,115903,3,136856
16,0.02360037118078904,0.0018490539389192364,0.025425070031529644,0.001745224951107291,0.002785037192122975,0.010360942447766823,0.0009349761334743985,0.029638117249335447,775661,0,82480,79258,25863,34734,13800,32490,117123,3,122143
17,0.02778536137055208,0.0022403732868130815,0.020868805765224367,0.0018192366192934116,0.0030163612729627192,0.012785620585053902,0.0010895578658054437,0.024864181099854582,766665,0,98581,91421,22828,41690,11930,33563,116602,3,133339
18,0.025214193024361474,0.001352076280077595,0.012497050072157588,0.0022935086532355304,0.0023817147920684564,0.009929769943273554,0.000979289427699919,0.026762169509289675,775911,0,85889,73731,24052,25474,7772,42597,116932,3,117713
19,0.018705342938632238,0.0015464473950316093,0.02294508919891022,0.002405180453277857,0.002897727094687267,0.020536203880262532,0.0011206999094652745,0.019927105685100692,719939,0,76767,118118,19232,27968,12892,42866,117719,3,108891
