tick,sex,area,age_months,count
0,male,0,0,61
0,male,0,1,55
0,male,0,2,56
0,male,0,3,53
0,male,0,4,57
0,male,0,5,55
0,male,0,6,54
0,male,0,7,56
0,male,0,8,55
0,male,0,9,55
0,male,0,10,55
0,male,0,11,57
0,male,0,12,54
0,male,0,13,54
0,male,0,14,55
0,male,0,15,53
0,male,0,16,54
0,male,0,17,54
0,male,0,18,1
0,male,2,0,61
0,male,2,1,54
0,male,2,2,55
0,male,2,3,56
0,male,2,4,55
0,male,2,5,53
0,male,2,6,56
0,male,2,7,56
0,male,2,8,55
0,male,2,9,55
0,male,2,10,55
0,male,2,11,54
0,male,2,12,56
0,male,2,13,54
0,male,2,14,50
0,male,2,15,55
0,male,2,16,55
0,male,2,17,53
0,male,2,18,2
0,male,2,19,1
0,female,1,0,56
0,female,1,1,55
0,female,1,2,56
0,female,1,3,55
0,female,1,4,56
0,female,1,5,56
0,female,1,6,56
0,female,1,7,54
0,female,1,8,52
0,female,1,9,56
0,female,1,10,56
0,female,1,11,56
0,female,1,12,55
0,female,1,13,54
0,female,1,14,56
0,female,1,15,55
0,female,1,16,52
0,female,1,17,55
0,female,1,18,1
0,female,3,0,56
0,female,3,1,56
0,female,3,2,55
0,female,3,3,56
0,female,3,4,57
0,female,3,5,56
0,female,3,6,56
0,female,3,7,56
0,female,3,8,57
0,female,3,9,54
0,female,3,10,55
0,female,3,11,57
0,female,3,12,57
0,female,3,13,55
0,female,3,14,56
0,female,3,15,55
0,female,3,16,55
0,female,3,17,55
0,female,3,18,2
1,male,0,0,61
1,male,0,1,55
1,male,0,2,55
1,male,0,3,54
1,male,0,4,56
1,male,0,5,55
1,male,0,6,55
1,male,0,7,55
1,male,0,8,54
1,male,0,9,55
1,male,0,10,54
1,male,0,11,57
1,male,0,12,53
1,male,0,13,54
1,male,0,14,53
1,male,0,15,52
1,male,0,16,53
1,male,0,17,54
1,male,0,18,2
1,male,2,0,62
1,male,2,1,53
1,male,2,2,56
1,male,2,3,56
1,male,2,4,55
1,male,2,5,52
1,male,2,6,56
1,male,2,7,57
1,male,2,8,55
1,male,2,9,55
1,male,2,10,55
1,male,2,11,54
1,male,2,12,55
1,male,2,13,53
1,male,2,14,50
1,male,2,15,55
1,male,2,16,54
1,male,2,17,53
1,male,2,18,3
1,male,2,19,1
1,female,1,0,56
1,female,1,1,54
1,female,1,2,55
1,female,1,3,55
1,female,1,4,56
1,female,1,5,56
1,female,1,6,55
1,female,1,7,54
1,female,1,8,52
1,female,1,9,56
1,female,1,10,56
1,female,1,11,56
1,female,1,12,53
1,female,1,13,53
1,female,1,14,55
1,female,1,15,53
1,female,1,16,50
1,female,1,17,54
1,female,1,18,2
1,female,3,0,61
1,female,3,1,56
1,female,3,2,55
1,female,3,3,56
